Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000102693,2,10,5,2,5,2,2
ENSMUSG00000064842,0,0,0,0,0,0,0
ENSMUSG00000051951,9,10,5,29,33,9,13
ENSMUSG00000102851,0,0,3,3,4,0,0
ENSMUSG00000103377,5,6,4,13,9,0,6
ENSMUSG00000104017,5,0,4,15,15,2,1
ENSMUSG00000103025,9,5,1,25,16,3,15
ENSMUSG00000089699,0,0,0,0,0,0,0
ENSMUSG00000103201,7,20,4,19,12,0,5
ENSMUSG00000103147,2,2,0,9,4,9,6
ENSMUSG00000103161,2,2,2,4,8,3,7
ENSMUSG00000102331,5,16,3,5,11,7,6
ENSMUSG00000102348,3,5,1,4,1,0,4
ENSMUSG00000102592,4,0,0,8,6,0,0
ENSMUSG00000088333,0,0,1,1,0,0,0
ENSMUSG00000142494,1,12,5,9,13,0,9
ENSMUSG00000102343,2,0,2,4,0,0,3
ENSMUSG00000133908,0,0,0,0,5,0,0
ENSMUSG00000025900,20,24,31,69,23,9,27
ENSMUSG00000102948,0,1,0,4,3,0,4
ENSMUSG00000104123,2,2,0,5,0,0,0
ENSMUSG00000135717,1,1,2,0,0,0,1
ENSMUSG00000139157,0,0,0,0,0,0,0
ENSMUSG00000025902,110,186,55,157,267,270,127
ENSMUSG00000104238,2,8,0,11,17,2,14
ENSMUSG00000102269,0,0,0,1,2,1,1
ENSMUSG00000118917,0,0,0,0,0,0,0
ENSMUSG00000103003,0,4,0,2,3,4,2
ENSMUSG00000104328,3,5,8,16,13,0,0
ENSMUSG00000131850,5,0,0,10,5,4,0
ENSMUSG00000102735,0,0,0,0,0,0,0
ENSMUSG00000098104,13,34,4,23,20,7,11
ENSMUSG00000102175,0,7,2,8,2,2,0
ENSMUSG00000135930,20,22,10,19,46,20,8
ENSMUSG00002075947,0,0,0,0,0,0,0
ENSMUSG00000103265,2,0,0,1,7,2,0
ENSMUSG00000103922,148,166,76,148,210,149,111
ENSMUSG00000033845,385,472,156,396,588,362,254
ENSMUSG00000102275,0,4,0,2,0,1,0
ENSMUSG00000120403,11,6,0,1,9,4,6
ENSMUSG00000136002,1,14,3,11,5,4,10
ENSMUSG00000025903,8356,8362,3488,6088,7937,7052,3997
ENSMUSG00000104217,0,3,0,5,7,3,0
ENSMUSG00000137875,0,0,0,3,1,2,4
ENSMUSG00000033813,232,333,177,273,373,335,164
ENSMUSG00000062588,6,9,1,3,8,1,2
ENSMUSG00000103280,6,0,0,2,7,1,2
ENSMUSG00000002459,1,0,0,4,4,0,4
ENSMUSG00000091305,0,0,0,1,0,0,0
ENSMUSG00000102653,0,2,3,0,7,1,1
ENSMUSG00000085623,0,5,2,21,6,0,3
ENSMUSG00000091665,5,0,0,11,6,0,7
ENSMUSG00000033793,1674,1955,967,1973,2223,1578,1165
ENSMUSG00000143188,8,9,8,0,2,6,7
ENSMUSG00000104352,1,0,0,0,0,0,0
ENSMUSG00000143351,0,2,0,0,4,0,0
ENSMUSG00000104046,2,0,0,2,6,0,2
ENSMUSG00000102907,2,0,2,0,1,0,4
ENSMUSG00000025905,7,7,18,2,13,5,9
ENSMUSG00000103936,0,1,1,1,3,0,0
ENSMUSG00002076544,0,0,0,0,0,0,4
ENSMUSG00000103519,3,3,2,4,0,0,0
ENSMUSG00000033774,0,1,0,6,3,4,3
ENSMUSG00000103090,0,0,0,2,6,0,0
ENSMUSG00000090031,211,238,88,155,278,197,150
ENSMUSG00000025907,1188,1260,558,1348,1468,1307,824
ENSMUSG00000087247,0,0,0,1,3,0,2
ENSMUSG00000143943,6,2,2,11,7,0,1
ENSMUSG00000103355,1,1,0,3,0,1,2
